,actions
0,0
8,11
20,9
28,9
36,9
44,9
52,9
60,9
68,9
76,9
84,9
92,9
100,9
108,9
116,9
124,9
132,9
140,9
148,9
156,9
164,9
171,9
180,10
188,10
195,9
208,17
216,10
224,9
232,9
240,9
248,9
256,10
264,9
272,10
280,10
288,9
296,10
308,15
316,9
324,9
332,9
340,9
348,9
356,9
364,9
372,9
380,9
388,9
396,9
404,10
412,9
420,9
428,9
436,9
444,9
452,9
460,9
468,9
476,9
484,9
492,9
500,9
508,9
516,9
524,9
532,9
540,9
548,10
556,10
563,9
576,16
584,9
592,9
600,9
608,9
616,10
624,10
636,15
644,9
652,9
660,9
668,9
676,10
684,9
692,9
700,9
708,9
716,9
724,9
731,9
744,16
752,10
760,10
768,10
776,9
788,15
796,9
804,10
812,9
820,9
828,9
836,9
844,9
852,9
860,9
867,9
884,22
892,9
899,9
912,16
920,10
928,9
940,15
948,9
956,9
964,9
971,9
984,16
996,15
1008,16
1016,10
1024,9
1035,15
1048,16
1056,9
1064,9
1072,9
1080,10
1088,9
1096,10
1104,9
1112,9
1120,9
1128,9
1136,9
1152,21
1163,16
1176,16
1184,9
1192,9
1200,9
1208,9
1216,9
1224,10
1232,10
1240,10
1248,9
1256,8
1264,9
1272,9
1288,15
1295,9
1308,17
1316,9
1327,15
1333,9
1340,9
1352,16
1363,16
1372,10
1380,9
1388,9
1396,9
1404,9
1412,10
1420,9
1428,9
1435,9
1448,17
1456,9
1464,10
1472,10
1484,15
1491,10
1504,16
1512,9
1520,10
1543,34
1549,8
1556,9
1572,24
1583,16
1596,16
1604,10
1612,9
1620,9
1628,9
1636,9
1644,9
1652,9
1660,9
1668,9
1676,9
1695,28
1711,22
1725,17
1732,9
1740,9
1748,9
1756,10
1767,15
1773,8
1780,9
1788,10
1795,10
1812,21
1820,9
1828,9
1836,9
1844,9
1852,9
1860,9
1868,9
1876,9
1884,9
1892,9
1899,9
1905,9
1912,9
1924,16
1940,22
1948,9
1960,15
1968,10
1976,9
1984,9
1992,9
1999,9
2005,8
2012,9
2020,9
2028,9
2036,9
2044,9
2052,9
2060,9
2068,9
2075,9
2088,17
2100,15
2108,9
2115,9
2128,16
2136,9
2144,10
2152,10
2160,10
2168,10
2176,10
2184,9
2192,9
2200,10
2208,9
2216,9
2224,9
2232,9
2244,15
2251,9
2264,17
2276,15
2284,9
2292,9
2300,9
2308,9
2316,9
2324,9
2332,9
2340,9
2348,9
2356,9
2364,9
2372,9
2380,9
2388,9
2396,9
2403,9
2420,21
2428,9
2435,10
2451,22
2463,16
2469,9
2476,9
2488,16
2495,9
2511,22
2524,17
2536,15
2544,10
2551,9
2564,16
2572,10
2580,9
2591,15
2604,17
2616,16
2623,10
2629,9
2636,9
2644,9
2652,9
2660,9
2668,9
2676,9
2684,9
2692,9
2699,9
2712,17
2720,9
2728,10
2736,9
2747,16
2753,9
2760,9
2768,9
2776,9
2784,9
2792,9
2800,9
2808,9
2816,9
2824,9
2831,10
2848,22
